:START_ID(Container),:END_ID(Port),:TYPE
SF_R4_r2_t7,2,HAS_POD
SF_R4_r2_t8,1,HAS_POD
SF_R4_r2_t9,1,HAS_POD
SF_R4_r3_t0,6,HAS_POD
SF_R4_r3_t1,5,HAS_POD
SF_R4_r3_t2,4,HAS_POD
SF_R4_r3_t3,4,HAS_POD
SF_R4_r3_t4,4,HAS_POD
SF_R4_r3_t5,3,HAS_POD
SF_R4_r3_t6,3,HAS_POD
SF_R4_r3_t7,2,HAS_POD
SF_R4_r3_t8,2,HAS_POD
SF_R4_r3_t9,1,HAS_POD
SF_R4_r4_t0,6,HAS_POD
SF_R4_r4_t1,5,HAS_POD
SF_R4_r4_t2,5,HAS_POD
SF_R4_r4_t3,4,HAS_POD
SF_R4_r4_t4,3,HAS_POD
SF_R4_r4_t5,3,HAS_POD
SF_R4_r4_t6,2,HAS_POD
SF_R4_r4_t7,2,HAS_POD
SF_R4_r4_t8,1,HAS_POD
SF_R4_r4_t9,1,HAS_POD
SF_R4_r5_t0,6,HAS_POD
SF_R4_r5_t1,5,HAS_POD
SF_R4_r5_t2,4,HAS_POD
SF_R4_r5_t3,4,HAS_POD
SF_R4_r5_t4,3,HAS_POD
SF_R4_r5_t5,3,HAS_POD
SF_R4_r5_t6,2,HAS_POD
SF_R4_r5_t7,2,HAS_POD
SF_R4_r5_t8,1,HAS_POD
SF_R4_r5_t9,1,HAS_POD
SF_R4_r6_t0,6,HAS_POD
SF_R4_r6_t1,5,HAS_POD
SF_R4_r6_t2,5,HAS_POD
SF_R4_r6_t3,4,HAS_POD
SF_R4_r6_t4,3,HAS_POD
SF_R4_r6_t5,3,HAS_POD
SF_R4_r6_t6,3,HAS_POD
SF_R4_r6_t7,2,HAS_POD
SF_R4_r6_t8,2,HAS_POD
SF_R4_r6_t9,1,HAS_POD
SF_R4_r7_t0,6,HAS_POD
SF_R4_r7_t1,5,HAS_POD
SF_R4_r7_t2,5,HAS_POD
SF_R4_r7_t3,4,HAS_POD
SF_R4_r7_t4,3,HAS_POD
SF_R4_r7_t5,3,HAS_POD
SF_R4_r7_t6,2,HAS_POD
SF_R4_r7_t7,2,HAS_POD
SF_R4_r7_t8,1,HAS_POD
SF_R4_r7_t9,1,HAS_POD
SF_R4_r8_t0,6,HAS_POD
SF_R4_r8_t1,5,HAS_POD
SF_R4_r8_t2,5,HAS_POD
SF_R4_r8_t3,4,HAS_POD
SF_R4_r8_t4,3,HAS_POD
SF_R4_r8_t5,3,HAS_POD
SF_R4_r8_t6,2,HAS_POD
SF_R4_r8_t7,2,HAS_POD
SF_R4_r8_t8,1,HAS_POD
SF_R4_r8_t9,1,HAS_POD
SF_R4_r9_t0,6,HAS_POD
SF_R4_r9_t1,5,HAS_POD
SF_R4_r9_t2,5,HAS_POD
SF_R4_r9_t3,4,HAS_POD
SF_R4_r9_t4,4,HAS_POD
SF_R4_r9_t5,3,HAS_POD
SF_R4_r9_t6,3,HAS_POD
SF_R4_r9_t7,2,HAS_POD
SF_R4_r9_t8,1,HAS_POD
SF_R4_r9_t9,1,HAS_POD
EF_R2_r0_t0,2,HAS_POD
EF_R2_r1_t0,3,HAS_POD
EF_R2_r2_t0,3,HAS_POD
EF_R2_r3_t0,3,HAS_POD
EF_R2_r4_t0,3,HAS_POD
EF_R3_r0_t0,6,HAS_POD
EF_R3_r1_t0,6,HAS_POD
EF_R3_r1_t1,4,HAS_POD
EF_R3_r2_t0,6,HAS_POD
EF_R3_r3_t0,6,HAS_POD
EF_R3_r4_t0,6,HAS_POD
