algorithm,seed,round,level,avg_reward,std_reward,min_reward,max_reward,avg_osr,avg_vpr,avg_wbi,avg_psr,avg_cwvr
PPO,42,1,1,94.5923,8.5335,75.6199,109.6042,0.0000,1.0000,0.9039,0.0000,0.0000
PPO,42,2,2,99.9554,14.7394,67.1858,134.9355,0.0000,0.9926,0.8954,0.0000,0.0000
PPO,42,3,3,957.0191,39.5443,827.0747,1021.7491,0.0000,0.9984,0.9365,0.0000,0.0000
PPO,42,4,4,1446.1756,42.6933,1330.7655,1521.3874,0.0000,0.9993,0.9390,0.0000,0.0833
