algorithm,seed,round,level,avg_reward,std_reward,min_reward,max_reward,avg_osr,avg_vpr,avg_wbi,avg_psr,avg_cwvr
PPO,42,1,1,235.1406,14.9513,204.3843,266.8873,0.0000,1.0000,0.9382,0.0000,0.0000
PPO,42,2,2,516.2647,31.5967,455.3120,586.1886,0.0000,1.0000,0.9210,0.0000,0.0000
PPO,42,3,3,960.6821,32.3353,892.5648,1021.9336,0.0000,1.0000,0.9355,0.0000,0.0000
PPO,42,4,4,1462.7206,43.1597,1379.5052,1540.5533,0.0000,0.9987,0.9407,0.0000,0.0870
